time,temperature_2m,wind_speed_10m,wind_direction_10m
2024-01-15 17:00:00,25.8,11.9,245
2024-01-15 18:00:00,25.9,14.6,250
2024-01-15 19:00:00,25.2,13.2,259
2024-01-15 20:00:00,24.8,9.1,252
2024-01-15 21:00:00,24.3,8.4,260
2024-01-15 22:00:00,24.0,7.3,259
2024-01-15 23:00:00,24.0,8.9,249
2024-01-16 00:00:00,25.1,8.6,255
2024-01-16 01:00:00,27.1,10.3,245
2024-01-16 02:00:00,28.7,12.9,240
2024-01-16 03:00:00,29.7,12.4,248
2024-01-16 04:00:00,30.6,9.8,253
2024-01-16 05:00:00,31.6,9.6,257
2024-01-16 06:00:00,32.0,10.5,278
2024-01-16 07:00:00,31.5,11.2,266
2024-01-16 08:00:00,30.0,11.3,239
2024-01-16 09:00:00,29.8,15.8,235
2024-01-16 10:00:00,29.6,14.3,242
2024-01-16 11:00:00,28.5,12.1,247
2024-01-16 12:00:00,27.5,14.5,256
2024-01-16 13:00:00,27.5,12.6,257
2024-01-16 14:00:00,27.0,14.0,252
2024-01-16 15:00:00,26.7,12.1,258
2024-01-16 16:00:00,26.4,12.3,249
2024-01-16 17:00:00,26.0,11.6,254
2024-01-16 18:00:00,25.8,11.4,257
2024-01-16 19:00:00,25.5,12.3,263
2024-01-16 20:00:00,25.5,11.9,268
2024-01-16 21:00:00,25.5,11.2,276
2024-01-16 22:00:00,25.2,11.5,274
2024-01-16 23:00:00,25.2,14.2,279
2024-01-17 00:00:00,25.2,10.3,299
2024-01-17 01:00:00,27.8,12.2,298
2024-01-17 02:00:00,28.9,10.2,293
2024-01-17 03:00:00,29.9,10.0,291
2024-01-17 04:00:00,30.7,10.5,297
2024-01-17 05:00:00,28.6,17.1,298
2024-01-17 06:00:00,27.5,8.0,260
2024-01-17 07:00:00,29.0,9.0,254
2024-01-17 08:00:00,29.6,9.3,242
2024-01-17 09:00:00,28.3,13.0,242
2024-01-17 10:00:00,28.1,10.5,264
2024-01-17 11:00:00,27.3,12.0,254
2024-01-17 12:00:00,26.5,10.4,256
2024-01-17 13:00:00,26.1,10.2,260
2024-01-17 14:00:00,25.9,9.8,264
2024-01-17 15:00:00,25.6,9.4,247
2024-01-17 16:00:00,25.7,8.6,237
2024-01-17 17:00:00,25.5,7.0,235
2024-01-17 18:00:00,25.4,7.6,262
2024-01-17 19:00:00,25.1,9.2,244
2024-01-17 20:00:00,24.9,10.7,237
2024-01-17 21:00:00,24.8,7.9,246
2024-01-17 22:00:00,24.9,14.8,257
2024-01-17 23:00:00,24.9,15.4,254
2024-01-18 00:00:00,25.8,17.1,248
2024-01-18 01:00:00,26.8,12.1,258
2024-01-18 02:00:00,28.5,14.8,252
2024-01-18 03:00:00,29.2,16.9,246
2024-01-18 04:00:00,29.8,15.9,245
2024-01-18 05:00:00,31.0,15.6,251
2024-01-18 06:00:00,30.4,19.8,241
2024-01-18 07:00:00,28.6,19.4,239
2024-01-18 08:00:00,27.5,16.5,254
2024-01-18 09:00:00,27.2,20.8,252
2024-01-18 10:00:00,27.2,20.0,252
2024-01-18 11:00:00,26.5,18.2,256
2024-01-18 12:00:00,26.0,18.4,258
2024-01-18 13:00:00,26.0,14.2,234
2024-01-18 14:00:00,25.9,11.7,236
2024-01-18 15:00:00,25.7,10.5,243
2024-01-18 16:00:00,25.7,14.3,242
2024-01-18 17:00:00,25.5,16.9,246
2024-01-18 18:00:00,25.0,16.6,243
2024-01-18 19:00:00,24.6,18.2,252
2024-01-18 20:00:00,24.1,13.9,260
2024-01-18 21:00:00,24.1,16.3,248
2024-01-18 22:00:00,24.0,14.8,266
2024-01-18 23:00:00,23.5,15.6,285
2024-01-19 00:00:00,23.9,12.2,251
2024-01-19 01:00:00,24.2,15.0,260
2024-01-19 02:00:00,24.5,12.6,246
2024-01-19 03:00:00,24.4,9.8,242
2024-01-19 04:00:00,25.0,10.7,258
2024-01-19 05:00:00,25.5,13.2,248
2024-01-19 06:00:00,26.9,15.3,243
2024-01-19 07:00:00,27.4,15.6,244
2024-01-19 08:00:00,26.2,18.3,248
2024-01-19 09:00:00,25.9,13.9,253
2024-01-19 10:00:00,26.1,13.8,255
2024-01-19 11:00:00,25.5,14.0,252
2024-01-19 12:00:00,24.5,12.8,248
2024-01-19 13:00:00,24.4,13.6,238
2024-01-19 14:00:00,24.5,13.5,241
2024-01-19 15:00:00,24.6,13.1,238
