x_m,depth_m,hs_m,tp_s,dir_deg
24400.0,30.0,1.56951,4.747,269.902
24600.0,30.0,1.57333,4.747,269.939
24800.0,30.0,1.57653,4.747,269.953
25000.0,30.0,1.57986,4.747,269.941
25200.0,30.0,1.58347,4.747,269.949
25400.0,30.0,1.58791,4.747,269.943
25600.0,30.0,1.59247,4.747,269.969
25800.0,30.0,1.59606,4.747,269.988
26000.0,30.0,1.59942,5.2664,269.965
26200.0,30.0,1.60317,5.2664,269.949
26400.0,30.0,1.60744,5.2664,269.966
26600.0,30.0,1.61138,5.2664,269.941
26800.0,30.0,1.61495,5.2664,269.944
27000.0,30.0,1.61795,5.2664,269.976
27200.0,30.0,1.6213,5.2664,269.995
27400.0,30.0,1.62453,5.2664,269.99
27600.0,30.0,1.62823,5.2664,269.965
27800.0,30.0,1.63283,5.2664,269.941
28000.0,30.0,1.63773,5.2664,269.954
28200.0,30.0,1.64084,5.2664,269.983
28400.0,30.0,1.64404,5.2664,270.027
28600.0,30.0,1.64711,5.2664,270.045
28800.0,30.0,1.65032,5.2664,270.021
29000.0,30.0,1.65391,5.2664,269.971
29200.0,30.0,1.65738,5.2664,269.955
29400.0,30.0,1.66042,5.2664,269.973
29600.0,30.0,1.66288,5.2664,269.993
29800.0,30.0,1.66599,5.2664,269.985
30000.0,30.0,1.6692,5.2664,269.967
30200.0,30.0,1.67276,5.2664,269.936
30400.0,30.0,1.67574,5.2664,269.88
30600.0,30.0,1.67875,5.2664,269.844
30800.0,30.0,1.68185,5.2664,269.853
31000.0,30.0,1.68507,5.2664,269.865
31200.0,30.0,1.68811,5.2664,269.875
31400.0,30.0,1.69066,5.2664,269.863
31600.0,30.0,1.6934,5.2664,269.861
31800.0,30.0,1.69532,5.2664,269.846
32000.0,30.0,1.69663,5.2664,269.863
32200.0,30.0,1.69798,5.2664,269.892
32400.0,30.0,1.70028,5.2664,269.891
32600.0,30.0,1.70271,5.2664,269.878
32800.0,30.0,1.70539,5.2664,269.876
33000.0,30.0,1.70806,5.2664,269.889
33200.0,30.0,1.71029,5.2664,269.923
33400.0,30.0,1.71235,5.2664,269.972
33600.0,30.0,1.71516,5.2664,269.988
33800.0,30.0,1.71801,5.2664,269.993
34000.0,30.0,1.72077,5.2664,269.994
34200.0,30.0,1.72323,5.2664,270.006
34400.0,30.0,1.72534,5.2664,270.023
34600.0,30.0,1.72684,5.2664,270.064
34800.0,30.0,1.72892,5.2664,270.083
35000.0,30.0,1.73194,5.2664,270.066
35200.0,30.0,1.7341,5.2664,270.043
35400.0,30.0,1.73549,5.2664,270.018
35600.0,30.0,1.73724,5.2664,270.017
35800.0,30.0,1.73988,5.2664,270.03
36000.0,30.0,1.74279,5.2664,270.037
36200.0,30.0,1.74607,5.2664,270.026
36400.0,30.0,1.74867,5.2664,270.02
36600.0,30.0,1.7506,5.2664,270.029
36800.0,30.0,1.75218,5.2664,270.052
37000.0,30.0,1.75364,5.2664,270.068
37200.0,30.0,1.75529,5.2664,270.073
37400.0,30.0,1.75678,5.2664,270.086
37600.0,30.0,1.75815,5.2664,270.094
37800.0,30.0,1.75974,5.2664,270.089
38000.0,30.0,1.76143,5.2664,270.084
38200.0,30.0,1.76306,5.2664,270.086
38400.0,30.0,1.76482,5.2664,270.071
38600.0,30.0,1.76649,5.2664,270.062
38800.0,30.0,1.76811,5.2664,270.046
39000.0,30.0,1.76955,5.2664,270.04
39200.0,30.0,1.77091,5.2664,270.038
39400.0,30.0,1.77237,5.2664,270.045
39600.0,30.0,1.77402,5.2664,270.045
39800.0,30.0,1.77582,5.2664,270.041
40000.0,30.0,1.77752,5.2664,270.037
